ET,SX,EX,Episode Title,Rating,Votes,Air Date,Description
178,8,7,Inn Escapable,8.0,316,11/07/2005,"Doug and Carrie's weekend at a quaint bed and breakfast turns out to be less than desirable. Worse, they do not feel comfortable about leaving because they are the only people at the inn for the entire weekend."
179,8,8,Move Doubt,7.8,262,11/14/2005,"Doug and Carrie try to get Deacon and Kelly to buy the house next to them, but a couple with eight kids moves in instead. Meanwhile Danny and Spence compete over a girl from Albania named Zana."
180,8,9,G'Night Stalker,8.6,333,11/21/2005,"Doug and Carrie decide to go out to a karaoke club, where Doug's singing catches the attention of a stranger, who then becomes obsessed with Doug."
181,8,10,Raygin' Bulls,7.9,276,11/28/2005,"Carrie goes away with Arthur to visit her mothers grave and finds out she's not who she thinks she is. Doug and Ray Barone (Ray Romano) spend the weekend trying to pick up girls, attempting to outdo each other in a nightclub."
182,8,11,Baker's Doesn't,7.8,270,12/19/2005,"Carrie is asked to bake a cake for the church bake sale, but she cannot bake."
183,8,12,Fresh Brood,7.8,270,01/06/2006,Doug borrows the baby Danny is sitting to prove to Carrie he'd make a good dad.
184,8,13,Gambling N' Diction,7.6,247,01/23/2006,"After Carrie is told she might not get a promotion because of her accent she seeks Spence for help. Doug's mom comes to visit and after seeing her play poker, Doug takes her to Vegas to hustle some people out of their money."
185,8,14,Apartment Complex,8.3,310,02/06/2006,"Doug, Deacon, Spence and Danny all secretly rent an apartment, but soon Deacon, Spence and Danny move out and Doug lives by himself. Carrie tries to sell a condo to Kirstie Alley but it turns out to be more work than she expected."
186,8,15,Buggie Nights,8.0,282,02/27/2006,Doug and Carrie hire an exterminator (Chris Elliott) to rid their house of bed bugs. Spence and Danny try to decide where to go on vacation.
187,8,16,Knee Jerk,8.1,282,03/06/2006,"After Carrie pushes Doug down the stairs she starts to feel guilty, and Doug milks it for all he can get."
188,8,17,Present Tense,8.0,290,03/13/2006,"On the party for their eleventh anniversary, Doug and Carrie get a portrait of the two of them from Deacon and Kelly. They dislike it so much they stage a fake robbery to get rid of it."
189,8,18,Sold-Y Locks,7.6,275,03/20/2006,"While they're having dinner at a restaurant a man who's in wigs tells Doug Carrie's hair is worth $3,000 dollars."
190,8,19,Emotional Rollercoaster,7.6,266,04/10/2006,It's Doug's 40th birthday and Carrie begins to try to make Doug realize that he should start wanting to do more with his life. So Doug decides he wants to ride a roller coaster that he was to afraid to ride when he was younger.
191,8,20,Four Play,7.9,265,05/01/2006,"Doug and Deacon discover they have more in common with each other's wives than their own, so they start hanging out with each other's wives as well."
192,8,21,Hartford Wailer,7.5,258,05/08/2006,"Doug crashes Carrie's weekend company retreat, not realising she's blown it off for a relaxing day with her girlfriends."
193,8,22,Fight Schlub,7.9,274,05/15/2006,"Doug befriends a driver from one of IPS' competitors, but eventually discovers it's just a ruse to make him the butt of a joke."
194,8,23,Acting Out,8.1,258,05/22/2006,"Carrie is finally fed up with Arthur, so she decides to put him in a retirement home. Doug, of course, is excited but after a touching story told by Arthur, Doug tries to decide whether or not Arthur should go."
195,9,1,Mama Cast,8.0,295,12/06/2006,"When Carrie insists that Doug figure out how to invest their tax return check, Doug decides to buy an ice cream truck from a stranger."
196,9,2,Affair Trade,8.1,296,12/06/2006,Things get out of hand as Doug frantically tries to stop a woman who claims to have spent a romantic weekend with him from calling the house.
197,9,3,Moxie Moron,7.5,269,12/13/2006,"Carrie gets upset because one of her fellow secretaries ""steals her moxie"" and gets a promotion, and everything at IPS falls apart after Doug temporarily takes over the office."
198,9,4,Major Disturbance,7.8,271,12/13/2006,"Deacon and Kelly don't want Doug around Major anymore after he inadvertently scares him, and Arthur begins a new business selling senior citizen services to carpoolers."
199,9,5,Ruff Goin',7.5,247,12/20/2006,"Doug adopts a dog at a block party to look like a better person, without telling Carrie. After Doug turns the dog into him (lazy) the couple tries to find a way to get rid of it."
200,9,6,Brace Yourself,7.7,267,01/03/2007,"An unflattering picture by Major prompts Arthur to ask Doug and Carrie for braces. Meanwhile, Kelly hires an out-of-work Spence to help out around the house."
201,9,7,Home Cheapo,7.7,251,04/09/2007,"When Deacon and Kelly buy a vacation home, Carrie is upset because they could have easily afforded it, but they were too cheap."
202,9,8,Offensive Fowl,8.0,282,04/16/2007,"After almost running over a chicken on the highway, Doug becomes more animal-sensitive and decides to become a vegetarian."
203,9,9,Mild Bunch,7.8,324,04/23/2007,"It's Doug's high school reunion, and he's going ""Stag"", while Carrie relaxes at home and tries to watch a movie with Arthur."
204,9,10,Manhattan Project,7.6,278,04/30/2007,"Carrie wants to move to an apartment in Manhattan, but Doug wants to stay in Queens. Their impasse makes them realize they have very different ideas about their future."
205,9,11,Single Spaced,7.5,280,05/07/2007,Carrie moves to Manhattan but Doug refuses to leave the house in Queens. Ultimately they find the one thing that will keep them together--or so it seems.
206,9,12,"China Syndrome, Parts 1 and 2",8.4,500,05/14/2007,"Carrie discovers that their Chinese baby is ready for adoption, but Doug wants to end the marriage because she didn't give up her apartment in Manhattan. Meanwhile, Arthur is forced to find a replacement bride for his wedding."
207,9,13,China Syndrome Part 2,7.9,47,05/07/2007,"With Doug and Carrie moving towards divorce, there are only two options. On a flight to China can they come together to make a double or nothing bet?"
