ET,SX,EX,Episode Title,Rating,Votes,Air Date,Description
91,5,11,Goo Goo Gas/Le Big Switch,7.1,309,09/29/2007,"Goo Goo Gas: Plankton plans on making Mr. Krabs helpless by turning him and the rest of the Krusty Krab staff into babies with a gas he created. Le Big Switch: After being enrolled in a chef exchange program, SpongeBob switches places with a snooty French chef from a high-end restaurant."
92,5,12,Atlantis SquarePantis,5.8,652,11/12/2007,"When two halves of an ancient medallion reunite, SpongeBob and his friends find themselves in the city of Atlantis, where the king gives them a tour."
93,5,13,Picture Day/Pat No Pay/Blackjack,6.6,327,08/02/2007,"Picture Day: It's Picture Day for the Boating School Year Book, and SpongeBob has spent all morning getting ready for it. Now all he has to do is make it to Boating School without getting dirty. But this proves to be more difficult than SpongeBob imagined. Pat No Pay: When Patrick eats his weight in Krabby Patties without paying, Mr. Krabs puts him to work in the restaurant. Blackjack: SpongeBob's parents are missing. All clues of their whereabouts point to his nefarious cousin Blackjack, the family bully who used to torment SpongeBob when they were little. If ..."
94,5,14,Blackened Sponge/Mermaidman vs. SpongeBob,7.3,313,08/03/2007,"Blackened Sponge: While trying to wrestle open the cap off of a tube of toothpaste SpongeBob accidentally punches himself in the face leaving behind a hideous black eye. Too embarrassed to tell anyone the truth behind the shiner, SpongeBob makes up a tale about a fight with a giant thug. But unbeknownst to SpongeBob, the bully in his story really exists, and he is not happy about this fictitious rumor that's going around about him. Mermaidman vs. SpongeBob: Plankton has brainwashed Mermaidman and Barnacleboy! With the dynamic duo under Plankton's control, he orders ..."
95,5,15,The Inmates of Summer/To Save a Squirrel,7.6,347,11/23/2007,"The Inmates of Summer: Instead of getting on the ship headed for summer camp, SpongeBob and Patrick accidentally board a ship full of prisoners on their way to jail on Inferno Island. To Save a Squirrel: SpongeBob and Patrick stow away on one of Sandy's extreme wilderness expeditions. But when they get accidentally left behind, they must band together in order to survive in the wild."
96,5,16,Pest of the West,7.2,322,04/11/2008,"Pest of the West: While researching his family tree SpongeBob discovers that he was related to the great Western hero, and famous chili-slinger, SpongeBuck. The tale of his ancestor's fame begins in the town of Dead Eye Gulch, which used to be called Bikini Gulch before the no-good Dead Eye Plankton came along. Everything in town has been taken over by Dead Eye - everything except Pappy Krabs' Krusty Kantina, the local watering hole where Hopalong Squidward can be found working behind the counter serving customers like Pecos Patrick. But now that Dead Eye has his big ..."
97,5,17,"20,000 Patties Under the Sea/The Battle of Bikini Bottom",7.1,326,11/23/2007,"20,000 Patties Under the Sea: SpongeBob and Mr. Krabs turn an old submarine into a mobile Krusty Krab. Not to be undone by his competitor's new gimmick, Plankton responds with his own traveling Chum Bucket, and the two rival restaurants engage in an undersea battle complete with torpedoes, a giant sea monster and chum. The Battle of Bikini Bottom: When Patrick and SpongeBob discover they have clashing views on cleanliness, their disagreement blows up into an epic battle. Is it possible for a soap-lover like SpongeBob to ever be friends with a dirt-monger like Patrick?"
98,5,18,Whatever Happened to SpongeBob? (WhoBob WhatPants),6.3,386,10/13/2008,"Whatever Happened to SpongeBob? (WhoBob WhatPants): When SpongeBob tries to spend some quality time with his friends, he just ends up being a nuisance to everyone instead. They all tell him to go away, so with a heavy heart, SpongeBob decides to do just that-he packs up to leave Bikini Bottom forever. Along the way, SpongeBob takes a nasty tumble and bumps his head, making him lose his memory. He doesn't remember anything, not even his own name. With nothing but a bottle of bubbles in his pocket, SpongeBob stumbles into New Kelp City. Lost and confused, he does the ..."
99,5,19,The Two Faces of Squidward/SpongeHenge,7.3,355,11/23/2007,"The Two Faces of Squidward: Squidward is rushed to the hospital when SpongeBob accidentally slams the door on Squidward's face. He undergoes surgery to have his face fixed to look normal again-but things don't go exactly as planned. Instead of looking like his old self again, the surgery has made him incredibly handsome! His dazzling beauty is making everyone in Bikini Bottom fall head over heels for the new Squidward. SpongeHenge: A very windy day in Bikini Bottom is blowing air through SpongeBob's holes resulting in a chorus of pretty flute-like sounds. This ..."
100,5,20,Banned in Bikini Bottom/Stanley S. SquarePants,6.8,336,11/23/2007,"Banned in Bikini Bottom: SpongeBob loves Krabby Patties so much, he just can't help singing and dancing when he's around the delicious sandwiches. But Miss Priss, who is against all things fun and delicious, is appalled by his behavior and has Krabby Patties banned from Bikini Bottom! Stanley S. SquarePants: When Stanley, SpongeBob's klutzy, absent-minded cousin, comes to visit Bikini Bottom, he quickly turns SpongeBob's life upside down."
101,6,1,House Fancy/Krabby Road,6.7,365,03/03/2008,"House Fancy: Squidward is enraged when he sees the home of his rival, Squilliam featured on a TV show about fancy houses. Determined not to be outdone, Squidward arranges to have his own house on the program. But he quickly realizes that his house isn't exactly camera-ready and he's going to need a lot of help, even if it means letting SpongeBob redecorate. Krabby Road: When SpongeBob mistakenly thinks that Plankton is starting a band, Plankton decides to use this to advantage. He soon forms a rock band with SpongeBob, Patrick, and Squidward. Plankton's plan: get ..."
102,6,2,Penny Foolish/Nautical Novice,6.3,304,03/07/2008,"Penny Foolish: When Mr. Krabs sees SpongeBob pick a penny up off the street, he becomes obsessed with the coin and vows to have it in his possession no matter what it takes. Nautical Novice: SpongeBob's boating school class is going on a field trip to the Nautical Museum-a perfect opportunity for SpongeBob to show off his boating know-how to Mrs. Puff! SpongeBob is convinced that once she sees just how knowledgeable he is about boating history, Mrs. Puff is sure to give him his license! Now all he needs to do is memorize the entire history of boating in one night."
103,6,3,Spongicus/Suction Cup Symphony,7.1,297,03/06/2008,"Spongicus: Plankton has demolished the Chum Bucket! In its place, he has built a Roman coliseum and announces there will be a gladiator show, which means togas, chariots, and ferocious lionfish. And on top of all that, it's free! No one in Bikini Bottom can resist, not even Mr. Krabs! Suction Cup Symphony: The Bikini Bottom Symphony is accepting submissions for their composition contest, and Squidward is determined to win. He immediately gets to work on his masterpiece, but when SpongeBob and Patrick keep disrupting Squidward's concentration, it looks like they might ..."
104,6,4,Not Normal/Gone,7.2,337,03/04/2008,"Not Normal: When Squidward points out to SpongeBob that he's not normal, SpongeBob makes it his mission to become normal. SpongeBob begins to lose all his spongey-ness, and it's not long before he's completely unrecognizable, even to his best friends. Could this be the end of SpongeBob SquarePants as we know him? Gone: SpongeBob wakes up one morning to find that everyone in Bikini Bottom is gone - even Gary!"
105,6,5,The Splinter/Slide Whistle Stooges,3.9,553,06/02/2008,"SpongeBob tries to remove a splinter before Mr. Krabs learns about it and sends him home early; SpongeBob and Patrick get new slide whistles and keep playing them, much to the annoyance of Squidward."
106,6,6,A Life in a Day/Sun Bleached,6.9,297,06/04/2008,"A Life in a Day: Everyone is in awe of Larry the Lobster's daredevil ways, especially SpongeBob and Patrick. Patrick decides that it's time for them to start living like Larry, but SpongeBob isn't so sure. Sun Bleached: Everybody who's anybody is going to a big party in Bikini Bottom, but you have to be a certain shade of tan to get in. SpongeBob and Patrick decide to get tan so they can go to the party, but SpongeBob accidentally goes too far and turns sun-bleached white! Now, not only is he the wrong shade, but he can barely move without cracking and turning to dust."
107,6,7,Giant Squidward/No Nose Knows,6.6,280,06/03/2008,"Giant Squidward: When Squidward gets spritzed with plant growth spray, he becomes monstrously huge. SpongeBob and Patrick are thrilled because they now have a giant buddy to play games with. But the citizens of Bikini Bottom are terrified of the monster, and they want him out! No Nose Knows: When Patrick realizes that he is the only one out of all his friends without a nose, he decides he needs to get a nose, too. Patrick is soon introduced to a whole new world full of aromas-including the stinky ones."
108,6,8,The Patty Caper/Plankton's Regular,6.7,279,08/05/2008,"The Patty Caper: The Krabby Patty formula has been placed in a vault far away for safe keeping. When Mr. Krabs forgets the recipe, he gives SpongeBob the key to the vault and sends him on a train ride to retrieve the formula. But someone steals the key! It's a mystery-aboard-a-train story as SpongeBob tries to locate the culprit, and he does it with the unlikeliest of allies ... Plankton! Plankton's Regular: Plankton has a customer who loves his chum and eats at the Chum Bucket every day-and no one is more surprised than Plankton. Could this mean competition for the ..."
109,6,9,Boating Buddies/The Krabby Kronicle,6.1,338,08/07/2008,"Boating Buddies: In an attempt to get away from SpongeBob, Squidward drives off in his boat as fast as he can. But he's stopped in his tracks when he's pulled over by a cop and is ordered to go to boating school. Now Squidward has to sit next to SpongeBob in class all day long and SpongeBob couldn't be happier! The Krabby Kronicle: When Mr. Krabs notices that the citizens of Bikini Bottom love buying tabloid newspapers, he decides to begin another business venture-his own tabloid! He recruits SpongeBob as his writer, but SpongeBob doesn't feel comfortable making up ..."
110,6,10,The Slumber Party/Grooming Gary,6.9,279,11/28/2008,"The Slumber Party: Pearl's getting ready for her slumber party, but Mr. Krabs' meddling in the party preparations is getting out of control. Pearl forces him out of the house and orders him to stay at SpongeBob's house until the party's over. But that doesn't stop Mr. Krabs from finding out what's going on at the party-he sends his #1 employee SpongeBob to be his undercover spy! Grooming Gary: SpongeBob decides to enter Gary in a pet show, but when he sees how well-groomed and well-dressed the other pets are, he realizes that he needs to give Gary a makeover. But Gary..."
111,6,11,SpongeBob SquarePants vs. The Big One,7.4,552,04/17/2009,"Spongebob and his friends are swept away by a giant wave and find themselves stranded on a remote tropical island. In order to get home, they must learn how to surf from enigmatic surf guru: Jack Kahuna Laguna."
112,6,12,Porous Pockets/Choir Boys,5.9,313,11/28/2008,"Porous Pockets: When SpongeBob suddenly becomes the richest citizen of Bikini Bottom, he finds himself surrounded by lots of new ""friends"" who are more than happy to help him spend his money. And as SpongeBob spends more time with his new friends, he's spending less time with his best buddy Patrick. Is this the end of their friendship? Choir Boys: It's the day of Squidward's big lead solo audition with the Bikini Bottom Men's Chorus, and Squidward is brimming with excitement. He's positive he's a shoo-in for the part. Now all he needs to do is get to the audition on ..."
113,6,13,Krusty Krushers/The Card,6.6,309,11/28/2008,"Krusty Krushers: Mr. Krabs hatches up yet another get-rich-quick scheme: professional wrestling! But Mr. Krabs isn't the one who's going to wrestle. He's going to be the manager and money-handler-for the newest tag-team wrestlers in Bikini Bottom: SpongeBob and Patrick! The Card: The new Mermaidman and Barnacleboy trading cards are on sale, and SpongeBob is determined to get the super special rare talking card, no matter how many packs of cards he needs to buy to find it. He buys packs upon packs of cards, but no luck. But when Patrick buys just one pack, he ..."
114,6,14,Dear Vikings/Ditchin',6.1,316,11/28/2008,"Dear Vikings: There's a new Viking-themed promotion at the Krusty Krab, so SpongeBob is determined to find out everything there is to know about Vikings. And what better way to find out about Vikings than to talk to them himself? So SpongeBob writes a letter to the Vikings, and is surprised when they decide to pay a visit to the Krusty Krab to answer his questions in person. Ditchin: Mermaidman and Barnacleboy are having a book signing, but SpongeBob can't go because he has boating school. After some convincing, Patrick finally gets SpongeBob to take a bathroom break ..."
115,6,15,Grandpappy the Pirate/Cephalopod Lodge,6.6,287,02/17/2009,"Grandpappy the Pirate: Mr. Krabs' granddad is coming to town! But instead of being excited, Mr. Krabs is nervous because his swarthy pirate granddad thinks that Mr. Krabs is a pirate, too. Will Mr. Krabs be able to fool his granddad into thinking that he, SpongeBob, and Squidward are pirates aboard a pirate ship, and not fast-food employees at the Krusty Krab? Cephalopod Lodge: When SpongeBob finds out that Squidward is a member of a secret society, SpongeBob decides he wants to join, too! The only problem is that the society is just for fish with tentacles. ..."
116,6,16,Squid's Visit/To Squarepants or Not to Squarepants,5.8,345,07/17/2009,"Spongebob's pants have shrunk in the dryer, so he buys some new, round pants, but no one recognises him."
117,6,17,Shuffleboarding/Professor Squidward,5.5,319,02/16/2009,A-SpongeBob and Patrick get carried away when they fill in for Mermaidman and Barnacleboy. B-Squidward poses as the teacher at a prestigious music school.
118,6,18,Pet or Pests/Komputer Overload,5.4,287,03/18/2009,"Pets or Pests: SpongeBob adopts a stray worm, and to his surprise, the worm gives birth to some worm babies overnight! But since Gary won't play nice, SpongeBob needs to find loving homes for his new slimy, weird-looking friends. Kumputer Overload: Plankton is sick of Karen's criticisms, so he decides he can just replace her with some new computer inventions! But when he takes them out on a Krabby Patty formula-stealing mission, he learns that Karen truly is one of a kind."
119,6,19,Gullible Pants/Overbooked,6.6,251,06/05/2009,"Gullible Pants: SpongeBob is left in charge of the Krusty Krab while Mr. Krabs steps out for 15 minutes, and he is determined to make it the best-managed 15 minutes ever! So when Squidward tells him that there are a lot of rules that he doesn't know about-like never interrupting Squidward's naps-SpongeBob is eager to learn and follow everything he says. Overbooked: SpongeBob's got a full day, and he's determined to do everything he's scheduled to do: help fix Mr. Krabs' telescope, go to Patrick's birthday party, and help with Sandy's science presentation. Too bad ..."
120,6,20,No Hat for Pat/Toy Store of Doom,6.9,308,03/17/2009,"No Hat for Pat: Patrick is sick of all of his friends not being able to play with him because they have to put on their Krusty Krab hats and go to work. So when Mr. Krabs offers him a job as a sign-holder, Patrick is thrilled because it means he gets to wear a hat and work with all his friends! But Pat soon learns that wearing a hat isn't as simple as it looks. Toy Store of Doom: A new toy store has opened up in Bikini Bottom, and SpongeBob and Patrick couldn't be happier! In fact, they are having so much fun at the toy store that they accidentally get locked in when ..."
121,6,21,Sand Castles in the Sand/Shell Shocked,7.8,358,06/01/2009,Spongebob breaks Gary's shell and tries to get him a new one at Angry Jack's Shell Imporium.
122,6,22,Chum Bucket Supreme/Single Cell Anniversary,7.4,264,06/03/2009,"Chum Bucket Supreme: None of Plankton's intellectually advanced advertising slogans for the Chum Bucket seem to be working. Plankton decides to switch gears by hiring someone who can create the dumbest slogans ever-Patrick! Single Cell Anniversary: It's Karen and Plankton's wedding anniversary, and Karen has gotten Plankton the best anniversary gift ever-the Krabby Patty formula! But she refuses to give it to him until Plankton gives her the best gift ever, too. If only he knew what that was!"
123,6,23,Truth or Square,5.7,456,11/06/2009,The cast look back on major events in their lives; Patchy hosts a star-studded anniversary special.
124,6,25,Pineapple Fever/Chum Caverns,6.9,293,07/18/2009,Plankton discovers an underground cave which he decides to convert into part of the Chum Bucket. The Chum Buket becomes popular because of the great scenery and threatens to put the Krusty Krabs out of business.
125,6,26,The Clash of Triton,5.2,337,07/05/2010,"King Neptune hosts a party, inviting all of the sea creatures. SpongeBob is jealous of the royal chef."
126,7,1,Tentacle-Vision/I Heart Dancing,6.7,321,07/19/2009,Tenacle-vison: Squidward becomes the star of his own public access TV show. I Heart Dancing: Squidward tries to sabotage SpongeBob's big dance audition.
127,7,2,Growth Spout/Stuck in the Wringer,4.3,443,07/19/2009,"Growth Spout: Mr. Krabs tries to find enough food to feed Pearl as she goes through her growth spurt. Stuck in the Wringer: After showering, SpongeBob gets stuck in his wringer."
128,7,3,Someone's in the Kitchen with Sandy/The Inside Job,5.8,308,07/19/2009,Someone's in the Kitchen with Sandy: Plankton steals Sandy's fur to disguise himself as Sandy and get the Krabby Patty formula. The Inside Job: Plankton goes inside SpongeBob's head to get the Krabby Patty formula.
129,7,4,Greasy Buffoons/Model Sponge,6.5,289,11/27/2009,Greasy Buffoons: Mr. Krabs and Plankton woo customers with greasy entrees. Model Sponge: SpongeBob tries a career at being a model in a kitchen sponge commercial.
130,7,5,Keep Bikini Bottom Beautiful/A Pal for Gary,3.3,601,01/02/2010,Squidward cleans up the city of Bikini Bottom with 'help' from SpongeBob.SpongeBob brings Gary a pet that terrorizes him.
131,7,6,"Yours, Mine and Mine/Kracked Krabs",6.2,299,09/11/2010,SpongeBob and Patrick buy a toy and have to learn to share it./SpongeBob goes with Mr. Krabs to the Cheapest Crab Convention.
132,7,7,The Curse of Bikini Bottom/Squidward in Clarinetland,7.6,299,03/24/2010,"When Squidward requires Mr. Krabs to give him extra space for his clarinet, he is forced to share a locker with Spongebob. But, his paranoia drives him ""literally"" crazy."
133,7,8,SpongeBob's Last Stand,7.0,280,04/22/2010,SpongeBob and Patrick protest the construction of a highway that would destroy Jellyfish Fields.
134,7,9,Back to the Past/The Bad Guy Club for Villains,7.5,291,02/15/2010,SpongeBob and Patrick go back in time to see the young Mermaidman and Barnacleboy.SpongeBob and Patrick watch their heroes fight bad guys in a classic Mermaidman and Barnacleboy episode.
135,7,10,A Day Without Tears/Summer Job,5.3,316,03/22/2010,Squidward bets SpongeBob he can't go a day without crying.Mrs. Puff has to work through her summer break at the Krusty Krab.
136,7,11,One Coarse Meal/Gary in Love,3.6,569,02/06/2010,Mr. Krabs finds out that Plankton's afraid of whales.Gary falls for a snail named Mary.
137,7,12,The Play's the Thing/Rodeo Daze,6.0,238,02/06/2010,Mr. Krabs opens a Dinner Theater at the Krusty KrabSpongeBob takes his pals to Texas to see Sandy in a squirrel rodeo.
138,7,13,Gramma's Secret Recipe/The Cent of Money,6.1,247,07/06/2010,Plankton disguises himself as SpongeBob's grandmother.Mr. Krabs uses Gary to find spare change.
139,7,14,The Monster Who Came to Bikini Bottom/Welcome to the Bikini Bottom Triangle,7.0,224,01/28/2011,Squidward's complaints trigger a volcanic eruption./SpongeBob and Patrick search for a drain on the ocean floor./A monster terrorizes Bikini Bottom./All the Bikini Bottom citizens disappear.
140,7,15,The Curse of the Hex/The Main Drain,6.6,180,06/11/2011,"Madam Hagfish puts a hex on the Krusty Krab, and SpongeBob and Patrick search for a legendary drain on the ocean floor."
141,7,16,Trenchbillies/Sponge-Cano!,5.5,197,01/28/2011,"Know what this is about?
 Be the first one to add a plot."
142,7,17,The Great Patty Caper,6.9,239,11/11/2010,"Includes three extra bonus shorts after the episode. SpongeBob, Patrick and Plankton solve a mystery on a runaway train."
143,7,18,That Sinking Feeling/Karate Star,6.9,250,07/08/2010,SpongeBob and Patrick dig a tunnel between their two houses and drive Squidward nuts.Pat learns just enough karate to wreak havoc in Bikini Bottom.
144,7,19,Buried in Time/Enchanted Tiki Dreams,7.3,291,02/06/2010,Mr. Krabs finds out that Plankton's afraid of whales.Gary falls for a snail named Mary.
145,7,20,The Abrasive Side/Earworm,7.3,268,11/27/2010,SpongeBob orders a product that will help him learn to say no; SpongeBob gets a song stuck in his head.
146,7,21,Hide and Then What Happens?/Shellback Shenanigans,6.4,173,08/09/2010,Plankton masquerades as Gary to steal the Krabby Patty formula./SpongeBob and Patrick play Hide N' Seek and SpongeBob searches the world for Patrick.
147,7,22,The Masterpiece/Whelk Attack,7.1,213,10/02/2010,Squidward sculpts a statue of Mr. Krabs for The Krusty Krab./Giant sea whelks terrorize the folks of Bikini Bottom.
148,7,23,You Don't Know Sponge/Tunnel of Glove,6.5,228,08/09/2010,Plankton masquerades as Gary to steal the Krabby Patty formula./SpongeBob and Patrick play Hide N' Seek and SpongeBob searches the world for Patrick.
149,7,24,Krusty Dogs/The Wreck of the Mauna Loa,7.0,246,10/09/2010,Mr. Krabs decides to start selling hot dogs instead of Krabby Patties./SpongeBob and Patrick discover a lost ship.
150,7,25,New Fish in Town/Love That Squid,6.5,184,02/12/2011,A new neighbor moves in and becomes Squidward's best friend./Spongebob helps Squidward prepare for a date.
151,7,26,Big Sister Sam/Perfect Chemistry,6.1,262,02/26/2011,Patrick's big sister Samantha comes for a visit./Sandy and Plankton bond over their shared love.
152,8,1,Accidents Will Happen/The Other Patty,7.1,263,06/25/2011,"When Squidward gets hurt on the job, he threatens to take legal action unless Mr. Krabs agrees to cater to him hand and foot. Mr. Krabs and Plankton find a common enemy in the popular new ""Flabby Patty"" restaurant."
153,8,2,Drive Thru/The Hot Shot,6.9,224,06/18/2011,"Accidents Will Happen: When Squidward gets hurt on the job, he threatens to take legal action unless Mr. Krabs agrees to cater to him hand and foot. Mr. Krabs and Plankton find a common enemy in the popular new ""Flabby Patty"" restaurant. Drive Thru: Instead of paying to patch up a hole in the wall of the Krusty Krab, Mr. Krabs decides to use it to make more money by turning it into a drive-thru window. Tony Fast, Jr., the son of a famous race car driver, teaches SpongeBob how to drive."
154,8,3,A Friendly Game/Sentimental Sponge,6.8,240,04/02/2011,SpongeBob and Patrick build an indoor miniature golf course in SpongeBob's house./SpongeBob has trouble throwing anything away when he realizes how many memories are attached to all his possessions.
155,8,4,Frozen Face-Off,7.4,247,07/15/2011,"All of Bikini Bottom enters a sleigh race to win $1 million. While racing, they are attacked by the abominable snow mollusk. Plankton takes advantage of everyone being gone to steal the Krabby Patty secret formula."
156,8,5,Squidward's School for Grown Ups/Oral Report,6.4,211,06/04/2011,"When Patrick suddenly grows a very grown-up beard, he decides it's time to act like a grown-up and perhaps Squiward is the perfect squid to help him. But can it be done without leaving SpongeBob heartbroken?/While preparing to give an oral report for boating school, SpongeBob comes down with stage fright. And Patrick doesn't seem to be any help at all, but Sandy does."
157,8,6,Sweet and Sour Squid/The Googly Artiste,6.4,178,07/20/2011,"Plankton tries to befriend Squidward so he can get the Krabby Patty formula.When an art critic deems Patrick a true artiste for his rocks-with-googly-eyes creations, everyone in Bikini Bottom clamors for a Patrick original."
158,8,7,SquarePants Family Vacation,6.1,198,11/11/2011,"While on a family road trip to the Great Barrier Reef, SpongeBob and Patrick get lost and end up on the adventure of a lifetime."
159,8,8,Patrick's Staycation/Walking the Plankton,6.4,188,11/07/2011,"Patrick wants to take a vacation, but can't afford one--until SpongeBob comes up with the perfect solution: a ""staycation""!Mr. Krabs and SpongeBob win a free cruise thanks to Plankton, who secretly goes with them to try to steal the Krabby Patty formula."
160,8,9,Mooncation/Mr. Krabs Takes a Vacation,6.9,165,11/09/2011,SpongeBob accidentally stows away on Sandy's vacation to the Moon.Mr. Krabs takes Pearl and SpongeBob on a vacation to the Ocean Mint.
161,8,10,Ghoul Fools,7.0,208,10/21/2011,SpongeBob and Patrick find a houseboat haunted by a crew of ghost pirates--and get caught in the feud between them and the Flying Dutchman.
162,8,11,Mermaid Man Begins/Plankton's Good Eye,7.5,217,09/23/2011,"SpongeBob and Patrick learn the secret origins of Mermaid Man and Branacle Boy from the heroes themselves. Plankton grows himself a second eye using SpongeBob's DNA, and becomes nice."
163,8,12,Barnacle Face/Pet Sitter Pat,5.1,252,09/16/2011,"Barnacle Face: The night before the big school dance, Mr. Krabs asks SpongeBob to help Pearl get rid of a barnacle on her face. Pet Sitter Pat: When SpongeBob gets invited to his Grandma's birthday party, he asks Patrick to pet-sit Gary."
164,8,13,House Sittin' for Sandy/Smoothe Jazz at Bikini Bottom,5.5,219,09/30/2011,SpongeBob house-sits for Sandy; SpongeBob and Squidward go to the Kelpy G concert.
165,8,14,The Way of the Sponge/Bubble Troubles,6.5,162,11/25/2011,SpongeBob and Patrick accidentally destroy Sandy's air supply and have to help her find more oxygen; SpongeBob wants to earn his belt from karate master Fuzzy Acorns with Sandy's help.
166,8,15,The Krabby Patty That Ate Bikini Bottom/Bubble Buddy Returns,6.5,177,11/25/2011,"Mr Krabs uses Sandy's experimental growth formula on a Krabby Patty with disastrous results.SpongeBob tries to keep Bubble Buddy's visiting son, Shiny, out of trouble and away from sharp edges."
167,8,16,Restraining SpongeBob/Fiasco!,6.0,184,04/02/2012,"Squidward has had enough of SpongeBob's annoying antics and issues a restraining order against him.Plankton thinks he's stolen a Krabby Patty from the Krusty Krab, but he's really stolen an art piece by the famous artist, Fiasco."
168,8,17,Are You Happy Now?/Planet of the Jellyfish,6.6,205,03/31/2012,Squidward has trouble recalling his happiest memory; SpongeBob and Sandy must defeat an evil Jellien overlord who has replaced everyone with clones.
169,8,18,Free Samples/Home Sweet Rubble,6.6,187,04/04/2012,Mr. Krabs is forced to give out free food to win back customers. SpongeBob needs all of his friends to help him remodel his pineapple.
170,8,19,Karen 2.0/InSpongeiac,6.9,227,04/09/2012,"When Plankton replaces his computer wife Karen with the new, better Karen 2, the original Karen ends up working at the Krusty Krab. / SpongeBob can't get to sleep, and asks for help from Patrick... who can't stay awake."
171,8,20,Face Freeze!/Glove World R.I.P.,5.4,301,04/03/2012,"SpongeBob and Patrick make a bet to see who can hold a ""funny face"" the longest...then their faces freeze that way!SpongeBob and Patrick spend one last glorious - and dangerous - day at Glove World before it closes for good."
172,8,21,Squiditis/Demolition Doofus,4.7,311,04/11/2012,"When Squidward goes home sick with a fake illness, SpongeBob HypochondriacPants thinks he's caught it for real!Mrs. Puff finally finds a use for SpongeBob's reckless driving and enters him in the Demolition Derby!"
173,8,22,Treats!/For Here or to Go,7.0,190,04/10/2012,"SpongeBob brings home a box of new snail treats that Gary will do anything to get - especially when they run out. / Plankton wins a free Krabby Patty, and Mr. Krabs will do anything to stop him from collecting."
174,8,23,It's a SpongeBob Christmas!,7.2,776,11/23/2012,"Plankton, Mr. Krabs' nemesis, vows to get his Christmas wish - obtaining the Krusty Krab's secret Krabby Patty formula - by turning everyone bad in Bikini Bottom with the help of his special jerktonium-laced fruitcake."
175,8,24,Super Evil Aquatic Villain Team Up Is Go!/Chum Fricassee,7.1,168,10/27/2012,"Plankton teams up with Man Ray to take over the Krusty Krab. Squidward quits his job and starts working at the Chum Bucket, where his new chum recipe becomes a success."
176,8,25,The Good Krabby Name/Move It or Lose It,6.9,150,10/21/2012,"Who lives in a pineapple under the sea? SpongeBob SquarePants! Follow the adventures of this enthusiastic, optimistic sponge whose good intentions inevitably lead him and his friends into trouble."
177,8,26,Hello Bikini Bottom!,7.3,207,10/08/2012,"SpongeBob and Squidward form a band and go on tour with Mr. Krabs as their manager and Patrick as their roadie, but they experience several difficulties along the way."
178,9,1,Extreme Spots/Squirrel Record,6.7,296,07/21/2012,"SpongeBob and Patrick attempt to join Johnny Krill's extreme sports team. Sandy is determined to break a record number of world records, in record time, so SpongeBob joins her for an action-packed weekend of dangerous record setting."
179,9,2,Patrick-Man!/Gary's New Toy,6.9,245,10/14/2012,"Patrick becomes the superhero Patrick-Man, who intends to clean up Bikini Bottom--whether it wants it or not! Gary becomes obsessed with his new red ball, forcing SpongeBob to take drastic measures to intervene."
180,9,3,License to Milkshake/Squid Baby,6.1,241,09/07/2012,SpongeBob must return to the Milkshake Academy after he realizes his Milkshake License has expired. / Squidward suffers a head injury and gets the mind of an infant.
181,9,4,Little Yellow Book/Bumper to Bumper,5.3,311,11/25/2012,"Squidward finds SpongeBob's diary, and starts reading it out loud in the Krusty Krab.SpongeBob once again fails his driving test, forcing Mrs. Puff to think outside the box--and off the road."
182,9,5,"Eek, an Urchin!/Squid Defense",6.8,211,10/28/2012,"SpongeBob finds a nasty sea urchin living in the Krusty Krab, and tries everything to force it out. After getting his groceries stolen, Squidward convinces SpongeBob and Sandy to teach him karate."
183,9,6,Jailbreak!/Evil Spatula,7.8,198,03/16/2013,"An imprisoned Plankton teams up with his fellow inmates to break out of jail and steal the Krabby Patty secret formula. / SpongeBob replaces his broken spatula with one from Plankton, which may or may not have magical powers."
184,9,7,It Came from Goo Lagoon,7.2,193,02/17/2014,"What do microwave ovens, dry cleaning, corn dogs and purple floaty things have in common? They can all destroy Bikini Bottom, that's what! But will they? Find out in this spine-tingling SpongeBob SquarePants adventure, It Came From Goo Lagoon! Horrors. A giant purple ball of goo has risen from the deep and it's threatening to release its toxic, gooey wrath all over the city. And according to Sandy, Bikini Bottom's resident know-it-all, this is not good. What's worse, Plankton has big, evil plans for this bubble. Will harnessing the bubble's power finally get Plankton ..."
185,9,8,Safe Deposit Krabs/Plankton's Pet,8.1,234,01/19/2013,"Mr. Krabs gets trapped in Bikini Bottom's brand-new bank, and it's up to SpongeBob and Patrick to save him. After failing again to steal the Krabby Patty formula, Plankton gets a pet to cheer himself up."
186,9,9,Don't Look Now/Séance Shméance,7.8,211,10/14/2013,"SpongeBob and Patrick go to see the latest horror film, only to be seemingly stalked by the villain. SpongeBob holds a séance at the Krusty Krab to learn the recipe for a long-lost sandwich."
187,9,10,Kenny the Cat/Yeti Krabs,6.9,217,03/29/2014,"Spongebob is desperate to meet his newest hero, Kenny the Cat. Mr. Krabs tries to scare Squidward into working harder."
188,9,11,"SpongeBob, You're Fired",4.9,484,11/11/2013,"In order to save money, Mr. Krabs fires SpongeBob; however, unable to just ""do nothing"", SpongeBob decides to go back to work, no matter what - or where."
